track,track_id,artist,album,release_date,total_tracks,award
DNA,5SE57ljOIUJ1ybL9U6CuBH,BTS,Love Yourself 承 'Her',2017-09-18,9,0
One Call Away,7soJgKhQTO8hLP2JPRkL5O,Charlie Puth,Nine Track Mind,2016-01-29,12,3
KOODA,0tYHqwTW4s6VuPWDSD7n7K,6ix9ine,Day69: Graduation Day,2018-04-10,12,0
24K Magic,6b8Be6ljOzmkOmFslEb23P,Bruno Mars,24K Magic,2016-11-17,9,5
Hallelujah,0HZk0QsXPhMNAWNDR3rYE8,Pentatonix,A Pentatonix Christmas Deluxe,2017-12-06,16,1
Wavy (feat. Joe Moses),70mIuBKGTPrWMwWq9D4F56,Ty Dolla $ign,Free TC (Deluxe),2016-03-25,20,1
Redbone,3kxfsdsCpFgN412fpnW85Y,Childish Gambino,"""Awaken, My Love!""",2016-12-02,11,4
100 Shots,3TXy6nchgKeYlVwOKNk9lE,Young Dolph,Bulletproof,2017-04-01,10,0
While We're Young,4mL59LVbKgOpEACxraGYdr,Jhene Aiko,Trip,2017-09-22,22,0
"Mary, Did You Know?",4z8sz6E4YyFuEkv5o7IJni,Pentatonix,That's Christmas To Me (Deluxe Edition),2015-10-30,16,1
Gang Related,1Kp6WFxRzc0sRBmGSgIYat,Logic,Under Pressure (Deluxe),2014-10-21,15,0
Nikki,1JFx9R87En9oJOi4DRH1e9,Logic,Under Pressure (Deluxe),2014-10-21,15,0
Been That Way,0zg5XJPiga7E5FxiehriG2,Bryson Tiller,T R A P S O U L,2015-10-02,14,1
Let Em' Know,5QDGKcQLqOJvoiu8eScEaM,Bryson Tiller,T R A P S O U L,2015-10-02,14,1
Let Me Explain,1trZGMI2CGyVT44STkpCoN,Bryson Tiller,Let Me Explain,2016-10-20,1,0
Exchange,43PuMrRfbyyuz4QpZ3oAwN,Bryson Tiller,T R A P S O U L,2015-10-02,14,4
Run Me Dry,5GG3knKdxKWrNboRijxeKF,Bryson Tiller,True to Self,2017-05-26,19,0
Robarte un Beso,0JcNysfWVWaMS7R6vzGB2k,Carlos Vives,VIVES,2017-11-10,18,5
Self-Made,2rUwQj4SWaP2anuGDtNpYR,Bryson Tiller,True to Self,2017-05-26,19,0
Al Filo de Tu Amor,5yJCrSdwrLFzboxg0z9xMd,Carlos Vives,VIVES,2017-11-10,18,1
Just Be Held,5t35FJYwzRt9MG3ae2O41L,Casting Crowns,Thrive,2014-01-24,12,0
Whiskey in My Water,5E4CJfa6yZNGSKVFSUgaBt,Tyler Farr,Redneck Crazy,2013-09-27,11,1
Used to Love You Sober,6V3wTb4VVDWRw3YEDgc6Py,Kane Brown,Chapter 1 - EP,2016-03-25,5,1
Courageous,28Bao9cmaIMsqxragOM8ba,Casting Crowns,Come To The Well,2011-10-14,12,0
The Cure,34oB5r0lcN3fYWCs2uA1k5,Lady Gaga,The Cure,2017-04-16,1,1
do re mi,3Q3myFA7q4Op95DOpHplaY,Blackbear,digital druglord,2017-04-21,10,2
Mercy,0AS63m1wHv9n4VVRizK6Hc,Shawn Mendes,Illuminate (Deluxe),2017-04-20,16,2
MIC Drop (feat. Desiigner) [Steve Aoki Remix],7Ed6BkggCS2KaKY5YlINaF,BTS,MIC Drop (feat. Desiigner) [Steve Aoki Remix],2017-11-24,1,0
In Case You Didn't Know,10M2Ex445zw585Ducldzkw,Brett Young,Brett Young,2017-02-10,12,3
LIKE I WOULD,1zWMf9bVyhY5W3ZORbjNWt,ZAYN,Mind Of Mine (Deluxe Edition),2016-03-25,18,0
Poles 1469,4fC5jw1TI59GH1emfN1wtk,Trippie Redd,A Love Letter To You,2017-05-14,12,0
Imitadora,6r46lnXFbE9fr2d3KNaGbe,Romeo Santos,Golden,2017-07-21,18,7
Norf Norf,4uQ7wYsuL0DryknoDc11Hk,Vince Staples,Summertime '06,2015-06-30,20,0
The Way Life Goes (feat. Oh Wonder),2eAZfqOm4EnOF9VvN50Tyc,Lil Uzi Vert,Luv Is Rage 2,2017-08-25,16,1
Bella y Sensual,0ERbK7qVqveCaBWIiYCrl3,Romeo Santos,Golden,2017-07-21,18,6
Pt. 2,1Wsbr1d2BouNGk2q92mIj7,Kanye West,The Life Of Pablo,2016-06-10,20,1
Héroe Favorito,6BdAwMv1YorLfkBWlE493X,Romeo Santos,Golden,2017-07-21,18,5
Renegade,5ASZFbCod633wLragmPYTj,Eminem,Curtain Call (Deluxe),2005-12-06,24,0
What Now,0aUWfpD3PlSv3FTTKcT2rN,Rihanna,Unapologetic (Deluxe),2012-12-11,17,1
Unforgettable (feat. Swae Lee) - Major Lazer Remix,5Xl8hwINbHKEYBHIU0WL1i,French Montana,Unforgettable (feat. Swae Lee) [Major Lazer Remix],2017-06-09,1,5
Minnesota,4XkOcWt0C2JX1s2RXybosk,Lil Yachty,Lil Boat,2016-07-05,13,0
My Dick,2tN2Kvzm2ITh1jnMKjjWBZ,Mickey Avalon,Mickey Avalon,2006-01-01,11,1
Peek A Boo,1iTWoKAdilGEmit6xhQZje,Lil Yachty,Peek A Boo,2017-04-13,1,0
LUV,16Ah4QqH4mgYVXqfC4mdSd,Tory Lanez,I Told You,2016-08-19,28,2
Despacito - Remix,6rPO02ozF3bM7NnOV4h6s2,Luis Fonsi,Despacito Feat. Justin Bieber (Remix),2017-04-17,1,10
Adore You,5AnCLGg35ziFOloEnXK4uu,Miley Cyrus,Bangerz (Deluxe Version),2013-10-04,16,2
What They Want,3pndPhlQWjuSoXhcIIdBjv,Russ,There's Really A Wolf,2017-05-05,20,2
Do My Thang,6n2GPvMJtFZ4ckoc9EWHMx,Miley Cyrus,Bangerz (Deluxe Version),2013-10-04,16,0
Lights Down Low,5A6BJLZArq1MPjsnmcuk5f,MAX,Hell's Kitchen Angel,2016-04-08,10,1
FU,6dDIOU6AqgLkrjFNPgvKY6,Miley Cyrus,Bangerz (Deluxe Version),2013-10-04,16,0
Goner,5P3yUXUC9rZPJPNmYGKEAz,Twenty One Pilots,Blurryface,2015-05-15,14,0
We Can't Stop,2y4lAQpi5VTNLu2ldeTdUH,Miley Cyrus,Bangerz (Deluxe Version),2013-10-04,16,5
Pull The Trigger,2oy5kjcc7itM64xk00Gz2c,Russ,Pull The Trigger,2016-08-23,1,0
BUTTERFLY EFFECT,2cYqizR4lgvp4Qu6IQ3qGN,Travis Scott,ASTROWORLD,2018-08-03,17,2
Money and the Power,20j9HwjFfdgYc5JBovDxLR,Kid Ink,Almost Home,2013-05-28,6,0
All About That Bass,0ifSeVGUr7py5GggttDhXw,Meghan Trainor,All About That Bass,2014-06-30,1,10
Suena El Dembow,0woHVOh3KXLSDv8VU9XwZ4,Joey Montana,Suena El Dembow,2017-09-01,1,0
Small Town Boy,2YMhrXQYKkm4kXLcXKKd5z,Dustin Lynch,Current Mood,2017-09-08,13,1
Chain Breaker,17GmwQ9Q3MTAz05OokmNNB,Zach Williams,Chain Breaker (Deluxe Edition),2017-09-15,15,0
Wide Awake,5JLv62qFIS1DR3zGEcApRt,Katy Perry,Katy Perry - Teenage Dream: The Complete Confection,2012-03-12,19,5
Swish Swish,3OtMnyUaiipcAT23A8liyi,Katy Perry,Witness (Deluxe),2017-06-09,17,1
Last Friday Night (T.G.I.F.),455AfCsOhhLPRc68sE01D8,Katy Perry,Katy Perry - Teenage Dream: The Complete Confection,2012-03-12,19,6
Better With The Lights Off (feat. Chris Brown),3wCSVS7KM9CIIHrChpabQ3,New Boyz,Too Cool To Care,2011-05-13,10,1
Rolex,0pSBuHjILhNEo55xK1zrRt,Ayo & Teo,Rolex,2017-03-15,1,2
Yours,6RSNKGdv3nDTHqgw4bdzyF,Russell Dickerson,Yours,2017-10-13,12,1
Drinkin' Problem,1vBpwxsLVwaR4evBIaFmqD,Midland,On The Rocks,2017-09-22,13,1
All I Want Is You (feat. J. Cole),5VA4Ispp52EA1sOqzMz3Av,Miguel,All I Want Is You,2010-11-26,13,1
You Can't Stop Me feat. Messiah - Remix,4F6cqZqKVaTDqsC0gIwAM5,Andy Mineo,You Can't Stop Me (Remix),2018-04-11,1,0
Smooth,31x4wWBghN7f5PiEZUmcAW,Florida Georgia Line,Dig Your Roots,2016-08-26,15,0
Somebody Else Will,3n2A6l4UayVe3GGKCvfQWV,Justin Moore,Kinda Don't Care,2016-01-01,12,0
All My Friends (feat. Tinashe & Chance the Rapper),6TaqooOXAEcijL6G1AWS2K,Snakehips,All My Friends (feat. Tinashe & Chance the Rapper),2015-10-21,1,1
Take Me to Church,1CS7Sd1u5tWkstBhpssyjP,Hozier,Hozier (Bonus Tracks Version),2014-10-03,15,6
Even If,787cootcZRw5Xr47Of97AN,MercyMe,Lifer,2017-03-31,10,0
The Race,3wGXyJGsCf1myH5MooQIqE,Tay-K,#SantanaWorld (+),2017-12-14,10,1
Do It Myself,5mB1bWU8VueYVxuvcLPn2B,Russ,There's Really A Wolf,2017-05-05,20,0
Me You,4f1QbCjIAgQwnf7ms9NXWx,Russ,There's Really A Wolf,2017-05-05,20,0
Fire and the Flood,6liNJDyWJjyHAgDnAX95bw,Vance Joy,Dream Your Life Away (Special Edition),2014-09-09,15,0
What A Beautiful Name,4KLj9QjEhJl2WU50mxRF9Z,Hillsong Worship,What A Beautiful Name,2017-01-06,1,0
Boss,1rsAFUCa6BVMgRQ3FCQQsi,Lil Pump,Lil Pump,2017-10-06,15,0
Georgia,429EttO8gs0bDo2SQfUNSm,Vance Joy,Dream Your Life Away (Special Edition),2014-09-09,15,0
Choices (Yup),5vIu19A3EEdHgFM4Cba6F4,E-40,Sharp On All 4 Corners (Deluxe Edition),2014-12-09,28,1
Tin Man,4ckQIgBy1gVeevf7UAereE,Miranda Lambert,The Weight of These Wings,2016-11-18,24,0
Magnolia,1e1JKLEDKP7hEQzJfNAgPl,Playboi Carti,Playboi Carti,2017-04-14,15,2
Who Am I,5VUQsLff8A3ruAyCdTxqzg,Casting Crowns,Casting Crowns,2003-10-07,10,1
DEVASTATED,4ntsD33Pgsgk8rUyZLLiUV,Joey Bada$$,ALL-AMERIKKKAN BADA$$,2017-04-07,12,1
Questions,5XQMr19TL7Mfksq9zihbOu,Chris Brown,Questions,2017-08-18,1,0
Destino o casualidad,2sMxswHr9wX7kTUHULvJBJ,Melendi,Destino o casualidad,2018-05-01,1,0
Greatest Love Story,2yQZwi1P8AkkxxFhQ8rMEK,LANCO,Hallelujah Nights,2018-01-19,11,1
Échame La Culpa,2hl6q70unbviGo3g1R7uFx,Luis Fonsi,Échame La Culpa,2017-11-17,1,3
Esa Boquita,3tWeAH4IYIrxV2jrUk9Ab3,J Alvarez,Esa Boquita,2017-05-19,1,0
Closer To Love,09b5vch8cDyMN8vYA2lEwk,Mat Kearney,City Of Black & White,2009-05-15,12,0
Audi.,2INqEk4ko5AsGVLBsiKiQe,Smokepurpp,Deadstar,2017-09-29,18,0
Craving You,2d48mamATjby7wgPjdrSOQ,Thomas Rhett,Life Changes,2017-09-08,14,1
Miserable At Best,1ONoPkp5XIuw3tZ1GzrNKZ,Mayday Parade,A Lesson In Romantics,2007-07-10,12,0
Welcome to the Black Parade,5wQnmLuC1W7ATsArWACrgW,My Chemical Romance,The Black Parade,2006-10-23,14,3
Numb,2nLtzopw4rPReszdYBJU6h,Linkin Park,Meteora,2003-03-24,13,4
Say It,2Gyc6e2cLxA5hoX1NOvYnU,Tory Lanez,I Told You,2016-08-19,28,2
Gorgeous,1ZY1PqizIl78geGM4xWlEA,Taylor Swift,reputation,2017-11-10,15,0
All You Had To Do Was Stay,0dAb8TY433dl3ZfXYCLE19,Taylor Swift,1989,2014-10-27,13,0
Haunted,11UaQaEp2LvdspTyyuE3ur,Taylor Swift,Speak Now (Deluxe Edition),2010,20,0
Castle,16w8ZGVSjI4TlTLV8VimBY,Halsey,BADLANDS (Deluxe),2015-08-28,16,1
Royals,2dLLR6qlu5UJ5gk0dKz0h3,Lorde,Pure Heroine,2013-01-01,10,10
Little Talks,3a2tuvXCHbW5nuUckuHkKT,Of Monsters and Men,My Head Is An Animal,2012-01-01,12,5
Most Girls,10GJQkjRJcZhGTLagFOC62,Hailee Steinfeld,Most Girls,2017-04-28,1,1
Nobody Else But You,1HOUzEsetdIPSpAgRPhZQt,Trey Songz,Tremaine The Album,2017-03-24,15,0
First,4ajsTrCAjWtUPLU6xCy4u4,Lauren Daigle,How Can It Be,2015-04-14,12,0
One Thing,6zvsh5ev7zJ8gz96bfBnZx,Kevin Gates,Islah (Deluxe),2016-01-29,17,0
Green Light,6ie2Bw3xLj2JcGowOlcMhb,Lorde,Melodrama,2017-06-16,11,1
Contigo Quiero Amores,6TwvPvIWttNbJQP1YMGbMm,Arcangel,"Sentimiento, Elegancia y Maldad",2013-11-19,18,0
Hace Mucho Tiempo,6nQCni9g6jDYKXaViEuDyS,Arcangel,"Sentimiento, Elegancia y Maldad",2013-11-19,18,1
Wasteland,3pO37BXsjMC2wApALxGbuB,10 Years,The Autumn Effect,2005-01-01,13,0
Más Que Ayer,37vqCDZ6g5pZ5gqDS90MDP,Arcangel,Más Que Ayer,2017-02-17,1,0
Bored To Death,44TuSOP6xIAEeJmZsN3nXO,blink-182,California,2016-07-01,16,0
Me Prefieres A Mi - Remix,1A1lRN0ZXOS7hE4u5iqZ1y,Various Artists,La Fórmula,2012-08-20,21,1
Alguien Robo,0pQoNBSZeRFuhLVH8gCVDT,Sebastian Yatra,MANTRA,2018-05-18,16,2
Sola,42aklaU3YXqCPFv1mzcCf6,Arcangel,"Sentimiento, Elegancia y Maldad",2013-11-19,18,0
First Day Out,3muBQDekYAg7jm6hDu6R0Z,Tee Grizzley,My Moment,2017-04-07,13,1
50 Sombras de Austin,7hWlUt8L0rNx1Q8RZnUVQz,Arcangel,Los Favoritos,2015-12-11,18,1
Molly (feat. Brendon Urie of Panic at the Disco),0NBiC3zLXoBQXBjsbnbwJq,Lil Dicky,Professional Rapper,2015-07-31,20,0
Skateboard P (feat. Big Sean),07pJdL0L9XDGW0HBj0rIS2,MadeinTYO,Skateboard P (feat. Big Sean),2017-02-15,1,1
I Want (feat. 2 Chainz),3zzf7EXJdQ6igozFIefQkX,MadeinTYO,I Want (feat. 2 Chainz),2016-07-15,1,0
White Iverson,6eT7xZZlB2mwyzJ2sUKG6w,Post Malone,Stoney (Deluxe),2016-12-09,18,5
No Promises (feat. Demi Lovato),5lNuqFVMca4vPupY10cH0J,Cheat Codes,No Promises (feat. Demi Lovato),2017-03-31,1,1
Now and Later,08WPvDEsHvTFuB9w8tC2OS,Sage The Gemini,Morse Code,2017-07-21,15,0
Mi Gente,4ipnJyDU3Lq15qBAYNqlqK,J Balvin,Mi Gente,2017-06-30,1,2
How Many Drinks?,5ctk3VJoHoURSiwkCJn2bf,Miguel,Kaleidoscope Dream,2012-09-28,11,0
Sure Thing,0JXXNGljqupsJaZsgSbMZV,Miguel,All I Want Is You,2010-11-26,13,1
Coffee (F***ing),5OFKWrKbS8iTIGxgjyHDzW,Miguel,Coffee (F***ing),2015-05-01,1,0
Do You...,4THgRPmLvhNmM9Lzj8qrvH,Miguel,Kaleidoscope Dream,2012-09-28,11,0
Simple Things (Remix),4z8c9qkpiYghn6DCQ6yA0u,Miguel,Simple Things (Remix),2015-10-16,1,0
Quickie,4isk4UYRcmslphcTq61xUg,Miguel,All I Want Is You,2010-11-26,13,0
The Sound Of Silence,1Cj2vqUwlJVG27gJrun92y,Disturbed,Immortalized,2015-08-21,13,3
Snapback,7I5fYc4qKJddht8Ozhqqdx,Old Dominion,Meat and Candy,2015-11-06,11,1
Still Got Time (feat. PARTYNEXTDOOR),2CvHNLEGTbPb2mOlelmVLN,Various Artists,The RCA-List (Vol. 6),2017-05-26,25,0
With You,1j3H54xdahpAkNI0q6S89q,Chris Brown,Exclusive,2007-11-01,16,3
Superhuman (feat. Keri Hilson),0LywUpaQjSnjDrk2avhREy,Chris Brown,Exclusive - The Forever Edition,2007,20,0
Grass Ain't Greener,6DaE3A1uIvDqVrVSNvUy6B,Chris Brown,Grass Ain't Greener,2016-05-05,1,1
Gimme That,7BWXAPR8TxPR3ppVUqvotE,Chris Brown,Chris Brown,2005-11-29,16,1
Run It!,6SPD3JwwRejBhCDiQAQ4he,Chris Brown,Chris Brown,2005-11-29,16,2
Yo (Excuse Me Miss),1zpu1PZ8ecmcX525Z3X8cl,Chris Brown,Chris Brown,2005-11-29,16,1
Say Goodbye,75KdMdPqZGO3FGNtpByM1p,Chris Brown,Chris Brown,2005-11-29,16,1
Sweet Love,07G7QChlEGW0d4goT0AvXU,Chris Brown,Fortune (Deluxe Version),2012-06-29,19,0
Take You Down,3XJpQ65m90QFmogv8MH1pG,Chris Brown,Exclusive,2007-11-01,16,0
Zero,3wrP2GVxWH8VpHPOsKhYgz,Chris Brown,Royalty (Deluxe Version),2015-12-18,18,0
Crawl,6D7YcZMttwhmqyWpsPF5KQ,Chris Brown,Graffiti,2009-12-08,19,0
This X-Mas,2aCOTUTsSh9018q7nTsdjm,Chris Brown,Heartbreak On A Full Moon Deluxe Edition: Cuffing Season - 12 Days Of Christmas,2017-12-13,57,0
Wall To Wall,3QFmH99wPoNdU2JHwKpajc,Chris Brown,Exclusive,2007-11-01,16,1
Privacy,2Vf2Pflg5rTWSvSCK4qq4A,Chris Brown,Privacy,2017-03-24,1,1
Forever,7tAXHZdp9UpcYrHn7MZqfo,Chris Brown,Forever,2007-11-02,1,4
Liquor,5u7o3wXWJI7AN1b9KIf3m8,Chris Brown,Royalty (Deluxe Version),2015-12-18,18,1
Right My Wrongs,5rgrBsAFYMun6yhtnLKRPz,Bryson Tiller,T R A P S O U L,2015-10-02,14,1
502 Come Up,5Y87Aek2DGI5s4WNAh8zKR,Bryson Tiller,T R A P S O U L,2015-10-02,14,0
For However Long,5g30WoqK1Dv5Bnwpusp2vk,Bryson Tiller,T R A P S O U L,2015-10-02,14,0
Overtime,2gq9iG0maBxkuZI7yfGJuv,Bryson Tiller,T R A P S O U L,2015-10-02,14,1
Kick The Dust Up,5g15o2Sm55Hn9ShK5yEXgp,Luke Bryan,Kill The Lights (Deluxe),2015-08-07,16,2
Rambo,5RqsqQU0erB0OgLbwem6pU,Bryson Tiller,T R A P S O U L,2015-10-02,14,0
Do I,7A5CReD6yWe0rrkJym34QI,Luke Bryan,Doin' My Thing,2009-01-01,11,2
Every Little Thing,2wxfu24GQpEZQrjDJm5Ac1,Carly Pearce,Every Little Thing,2017-10-13,13,0
Cumbia Medley - Live,1ukUDShP9cx9uk9YC7FIBW,Selena,Movie Soundtrack,1997-01-01,12,0
Into You,2meEiZKWkiN28gITzFwQo5,Ariana Grande,Dangerous Woman,2016-05-20,15,3
Big Amount,5tkDCf3xKRZjT5RbCb3sZB,2 Chainz,Pretty Girls Like Trap Music,2017-06-16,16,0
7 Years,5kqIPrATaCc2LqxVWzQGbk,Lukas Graham,Lukas Graham,2016-04-01,11,5
Issues,7vu0JkJh0ldukEYbTVcqd0,Julia Michaels,Nervous System,2017-07-28,7,3
Swang,6mapJIPnQ23RTAevUoE0DL,Rae Sremmurd,SremmLife 2 (Deluxe),2016-08-12,14,3
Bohemian Rhapsody - Remastered 2011,7tFiyTwD0nx5a1eklYtX2J,Queen,A Night At The Opera (Deluxe Remastered Version),1975-11-21,18,6
Lil Bit,7bFElqzAlHXnnINRBXRQbK,K CAMP,Only Way Is Up (Deluxe),2014-09-04,16,0
4 AM,1nX9KhK3Fff27SnrIor2Yb,2 Chainz,Pretty Girls Like Trap Music,2017-06-16,16,1
Fine China,2OVRPlR4BsnwPY7OiIfCQn,Chris Brown,X (Deluxe Version),2014-09-12,21,1
Héroe Favorito,6BdAwMv1YorLfkBWlE493X,Romeo Santos,Golden,2017-07-21,18,5
Renegade,5ASZFbCod633wLragmPYTj,Eminem,Curtain Call (Deluxe),2005-12-06,24,0
What Now,0aUWfpD3PlSv3FTTKcT2rN,Rihanna,Unapologetic (Deluxe),2012-12-11,17,1
Unforgettable (feat. Swae Lee) - Major Lazer Remix,5Xl8hwINbHKEYBHIU0WL1i,French Montana,Unforgettable (feat. Swae Lee) [Major Lazer Remix],2017-06-09,1,5
Minnesota,4XkOcWt0C2JX1s2RXybosk,Lil Yachty,Lil Boat,2016-07-05,13,0
My Dick,2tN2Kvzm2ITh1jnMKjjWBZ,Mickey Avalon,Mickey Avalon,2006-01-01,11,1
Peek A Boo,1iTWoKAdilGEmit6xhQZje,Lil Yachty,Peek A Boo,2017-04-13,1,0
LUV,16Ah4QqH4mgYVXqfC4mdSd,Tory Lanez,I Told You,2016-08-19,28,2
Despacito - Remix,6rPO02ozF3bM7NnOV4h6s2,Luis Fonsi,Despacito Feat. Justin Bieber (Remix),2017-04-17,1,10
Adore You,5AnCLGg35ziFOloEnXK4uu,Miley Cyrus,Bangerz (Deluxe Version),2013-10-04,16,2
What They Want,3pndPhlQWjuSoXhcIIdBjv,Russ,There's Really A Wolf,2017-05-05,20,2
Do My Thang,6n2GPvMJtFZ4ckoc9EWHMx,Miley Cyrus,Bangerz (Deluxe Version),2013-10-04,16,0
Lights Down Low,5A6BJLZArq1MPjsnmcuk5f,MAX,Hell's Kitchen Angel,2016-04-08,10,1
FU,6dDIOU6AqgLkrjFNPgvKY6,Miley Cyrus,Bangerz (Deluxe Version),2013-10-04,16,0
Goner,5P3yUXUC9rZPJPNmYGKEAz,Twenty One Pilots,Blurryface,2015-05-15,14,0
We Can't Stop,2y4lAQpi5VTNLu2ldeTdUH,Miley Cyrus,Bangerz (Deluxe Version),2013-10-04,16,5
Pull The Trigger,2oy5kjcc7itM64xk00Gz2c,Russ,Pull The Trigger,2016-08-23,1,0
BUTTERFLY EFFECT,2cYqizR4lgvp4Qu6IQ3qGN,Travis Scott,ASTROWORLD,2018-08-03,17,2
Money and the Power,20j9HwjFfdgYc5JBovDxLR,Kid Ink,Almost Home,2013-05-28,6,0
All About That Bass,0ifSeVGUr7py5GggttDhXw,Meghan Trainor,All About That Bass,2014-06-30,1,10
Suena El Dembow,0woHVOh3KXLSDv8VU9XwZ4,Joey Montana,Suena El Dembow,2017-09-01,1,0
Small Town Boy,2YMhrXQYKkm4kXLcXKKd5z,Dustin Lynch,Current Mood,2017-09-08,13,1
Chain Breaker,17GmwQ9Q3MTAz05OokmNNB,Zach Williams,Chain Breaker (Deluxe Edition),2017-09-15,15,0
Wide Awake,5JLv62qFIS1DR3zGEcApRt,Katy Perry,Katy Perry - Teenage Dream: The Complete Confection,2012-03-12,19,5
Swish Swish,3OtMnyUaiipcAT23A8liyi,Katy Perry,Witness (Deluxe),2017-06-09,17,1
Last Friday Night (T.G.I.F.),455AfCsOhhLPRc68sE01D8,Katy Perry,Katy Perry - Teenage Dream: The Complete Confection,2012-03-12,19,6
Better With The Lights Off (feat. Chris Brown),3wCSVS7KM9CIIHrChpabQ3,New Boyz,Too Cool To Care,2011-05-13,10,1
Rolex,0pSBuHjILhNEo55xK1zrRt,Ayo & Teo,Rolex,2017-03-15,1,2
Yours,6RSNKGdv3nDTHqgw4bdzyF,Russell Dickerson,Yours,2017-10-13,12,1
Drinkin' Problem,1vBpwxsLVwaR4evBIaFmqD,Midland,On The Rocks,2017-09-22,13,1
All I Want Is You (feat. J. Cole),5VA4Ispp52EA1sOqzMz3Av,Miguel,All I Want Is You,2010-11-26,13,1
You Can't Stop Me feat. Messiah - Remix,4F6cqZqKVaTDqsC0gIwAM5,Andy Mineo,You Can't Stop Me (Remix),2018-04-11,1,0
Smooth,31x4wWBghN7f5PiEZUmcAW,Florida Georgia Line,Dig Your Roots,2016-08-26,15,0
Somebody Else Will,3n2A6l4UayVe3GGKCvfQWV,Justin Moore,Kinda Don't Care,2016-01-01,12,0
All My Friends (feat. Tinashe & Chance the Rapper),6TaqooOXAEcijL6G1AWS2K,Snakehips,All My Friends (feat. Tinashe & Chance the Rapper),2015-10-21,1,1
Take Me to Church,1CS7Sd1u5tWkstBhpssyjP,Hozier,Hozier (Bonus Tracks Version),2014-10-03,15,6
Even If,787cootcZRw5Xr47Of97AN,MercyMe,Lifer,2017-03-31,10,0
The Race,3wGXyJGsCf1myH5MooQIqE,Tay-K,#SantanaWorld (+),2017-12-14,10,1
Do It Myself,5mB1bWU8VueYVxuvcLPn2B,Russ,There's Really A Wolf,2017-05-05,20,0
Me You,4f1QbCjIAgQwnf7ms9NXWx,Russ,There's Really A Wolf,2017-05-05,20,0
Fire and the Flood,6liNJDyWJjyHAgDnAX95bw,Vance Joy,Dream Your Life Away (Special Edition),2014-09-09,15,0
What A Beautiful Name,4KLj9QjEhJl2WU50mxRF9Z,Hillsong Worship,What A Beautiful Name,2017-01-06,1,0
Boss,1rsAFUCa6BVMgRQ3FCQQsi,Lil Pump,Lil Pump,2017-10-06,15,0
Georgia,429EttO8gs0bDo2SQfUNSm,Vance Joy,Dream Your Life Away (Special Edition),2014-09-09,15,0
Choices (Yup),5vIu19A3EEdHgFM4Cba6F4,E-40,Sharp On All 4 Corners (Deluxe Edition),2014-12-09,28,1
Tin Man,4ckQIgBy1gVeevf7UAereE,Miranda Lambert,The Weight of These Wings,2016-11-18,24,0
Magnolia,1e1JKLEDKP7hEQzJfNAgPl,Playboi Carti,Playboi Carti,2017-04-14,15,2
Who Am I,5VUQsLff8A3ruAyCdTxqzg,Casting Crowns,Casting Crowns,2003-10-07,10,1
DEVASTATED,4ntsD33Pgsgk8rUyZLLiUV,Joey Bada$$,ALL-AMERIKKKAN BADA$$,2017-04-07,12,1
Questions,5XQMr19TL7Mfksq9zihbOu,Chris Brown,Questions,2017-08-18,1,0
Destino o casualidad,2sMxswHr9wX7kTUHULvJBJ,Melendi,Destino o casualidad,2018-05-01,1,0
Greatest Love Story,2yQZwi1P8AkkxxFhQ8rMEK,LANCO,Hallelujah Nights,2018-01-19,11,1
Échame La Culpa,2hl6q70unbviGo3g1R7uFx,Luis Fonsi,Échame La Culpa,2017-11-17,1,3
Esa Boquita,3tWeAH4IYIrxV2jrUk9Ab3,J Alvarez,Esa Boquita,2017-05-19,1,0
Closer To Love,09b5vch8cDyMN8vYA2lEwk,Mat Kearney,City Of Black & White,2009-05-15,12,0
Audi.,2INqEk4ko5AsGVLBsiKiQe,Smokepurpp,Deadstar,2017-09-29,18,0
Craving You,2d48mamATjby7wgPjdrSOQ,Thomas Rhett,Life Changes,2017-09-08,14,1
Miserable At Best,1ONoPkp5XIuw3tZ1GzrNKZ,Mayday Parade,A Lesson In Romantics,2007-07-10,12,0
Welcome to the Black Parade,5wQnmLuC1W7ATsArWACrgW,My Chemical Romance,The Black Parade,2006-10-23,14,3
Numb,2nLtzopw4rPReszdYBJU6h,Linkin Park,Meteora,2003-03-24,13,4
Say It,2Gyc6e2cLxA5hoX1NOvYnU,Tory Lanez,I Told You,2016-08-19,28,2
Gorgeous,1ZY1PqizIl78geGM4xWlEA,Taylor Swift,reputation,2017-11-10,15,0
All You Had To Do Was Stay,0dAb8TY433dl3ZfXYCLE19,Taylor Swift,1989,2014-10-27,13,0
Haunted,11UaQaEp2LvdspTyyuE3ur,Taylor Swift,Speak Now (Deluxe Edition),2010,20,0
Castle,16w8ZGVSjI4TlTLV8VimBY,Halsey,BADLANDS (Deluxe),2015-08-28,16,1
Royals,2dLLR6qlu5UJ5gk0dKz0h3,Lorde,Pure Heroine,2013-01-01,10,10
Little Talks,3a2tuvXCHbW5nuUckuHkKT,Of Monsters and Men,My Head Is An Animal,2012-01-01,12,5
Most Girls,10GJQkjRJcZhGTLagFOC62,Hailee Steinfeld,Most Girls,2017-04-28,1,1
Nobody Else But You,1HOUzEsetdIPSpAgRPhZQt,Trey Songz,Tremaine The Album,2017-03-24,15,0
First,4ajsTrCAjWtUPLU6xCy4u4,Lauren Daigle,How Can It Be,2015-04-14,12,0
One Thing,6zvsh5ev7zJ8gz96bfBnZx,Kevin Gates,Islah (Deluxe),2016-01-29,17,0
