track,track_id,artist,album,release_date,total_tracks,award
Praise The Lord (Da Shine),7ycWLEP1GsNjVvcjawXz3z,A$AP Rocky,TESTING,2018-05-25,15,0
Ocean (feat. Khalid),3nc420PXjTdBV5TN0gCFkS,Martin Garrix,Ocean (feat. Khalid),2018-06-15,1,0
Blue Tacoma,2oPCR02nduYVpj7CTfsA0d,Russell Dickerson,Yours,2017-10-13,12,0
Síguelo Bailando,5Y9fnynLlIvqtM710MHzfz,Ozuna,Odisea,2017-08-25,16,13
Gold,6ZSO7kPn8IMJFymyticbJO,Kiiara,low kii savage,2016-03-22,6,3
Una Flor,1N9VY22tQUnD84bNWUsyKe,Ozuna,Odisea,2017-08-25,16,4
"Azukita (Steve Aoki, Daddy Yankee, Play-N-Skillz & Elvis Crespo)",5e45GhSF18JYoLpaq2F48h,Steve Aoki,"Azukita (Steve Aoki, Daddy Yankee, Play-N-Skillz & Elvis Crespo)",2018-02-02,1,1
Egoísta,4X3CV9rXo3hQrkb0fzRAux,Ozuna,Odisea,2017-08-25,16,4
Done For Me (feat. Kehlani),1lsBTdE6MGsKeZCD6llNu7,Charlie Puth,Voicenotes,2018-05-11,13,0
Celoso,33zcmmElV1YbRZe57biUjg,Lele Pons,Celoso,2018-08-17,1,0
The Way (feat. Chance the Rapper),6mzaCRuLTRiz1caGOum3zT,Kehlani,You Should Be Here,2015-04-28,15,1
Se Preparó,1m69ELEgE6k5ZWsap40ozt,Ozuna,Odisea,2017-08-25,16,21
Dile Que Tu Me Quieres,5u5MvmVtitax9R1Mxh3reC,Ozuna,Odisea,2017-08-25,16,12
Get Along,2ZFrEp20VO25BXYhMxh0GW,Kenny Chesney,Get Along,2018-04-06,1,0
Back To You - From 13 Reasons Why – Season 2 Soundtrack,4hQ6UGyWQIGJmHSo0J88JW,Selena Gomez,Back To You (From 13 Reasons Why – Season 2 Soundtrack),2018-05-10,1,1
"Come Alive (From ""The Greatest Showman"") - Instrumental",29RiF9XnKor7TtoAaEGbcA,The Greatest Showman Ensemble,"Come Alive (From ""The Greatest Showman"") [Instrumental]",2017-12-05,1,0
Buy Me A Boat,6y35xDJFzpy1FIa6qCMA59,Chris Janson,Buy Me A Boat,2015-04-23,1,2
Nothin' Like You,4W38RXuQNuoTSwVsQA1OGC,Dan + Shay,Where It All Began,2014-04-01,15,1
Taste (feat. Offset),5IaHrVsrferBYDm0bDyABy,Tyga,Taste (feat. Offset),2018-05-16,1,2
Havana,1rfofaqEpACxVEHIZBJe6W,Camila Cabello,Camila,2018-01-12,11,6
Thought It Was a Drought,5ihDGnhQgMA0F0tk9fNLlA,Future,DS2 (Deluxe),2015-07-17,19,1
Suave (Remix),0alWUvsJHk83HVWCnyCG51,Various Artists,Suave (Remix),2018-08-24,1,0
Tú Foto,5zSOVwaY3sVjnmLhuEfsuf,Ozuna,Odisea,2017-08-25,16,11
Privado,4Nu07kdmj2GDenygAFmuT8,Rvssian,Privado,2016-11-18,1,3
