track,track_id,artist,album,release_date,total_tracks
The Way (feat. Chance the Rapper),6mzaCRuLTRiz1caGOum3zT,Kehlani,You Should Be Here,2015-04-28,15
Se Preparó,1m69ELEgE6k5ZWsap40ozt,Ozuna,Odisea,2017-08-25,16
Dile Que Tu Me Quieres,5u5MvmVtitax9R1Mxh3reC,Ozuna,Odisea,2017-08-25,16
Get Along,2ZFrEp20VO25BXYhMxh0GW,Kenny Chesney,Get Along,2018-04-06,1
Back To You - From 13 Reasons Why – Season 2 Soundtrack,4hQ6UGyWQIGJmHSo0J88JW,Selena Gomez,Back To You (From 13 Reasons Why – Season 2 Soundtrack),2018-05-10,1
"Come Alive (From ""The Greatest Showman"") - Instrumental",29RiF9XnKor7TtoAaEGbcA,The Greatest Showman Ensemble,"Come Alive (From ""The Greatest Showman"") [Instrumental]",2017-12-05,1
Buy Me A Boat,6y35xDJFzpy1FIa6qCMA59,Chris Janson,Buy Me A Boat,2015-04-23,1
Nothin' Like You,4W38RXuQNuoTSwVsQA1OGC,Dan + Shay,Where It All Began,2014-04-01,15
Taste (feat. Offset),5IaHrVsrferBYDm0bDyABy,Tyga,Taste (feat. Offset),2018-05-16,1
Havana,1rfofaqEpACxVEHIZBJe6W,Camila Cabello,Camila,2018-01-12,11
Thought It Was a Drought,5ihDGnhQgMA0F0tk9fNLlA,Future,DS2 (Deluxe),2015-07-17,19
Suave (Remix),0alWUvsJHk83HVWCnyCG51,Various Artists,Suave (Remix),2018-08-24,1
Tú Foto,5zSOVwaY3sVjnmLhuEfsuf,Ozuna,Odisea,2017-08-25,16
Privado,4Nu07kdmj2GDenygAFmuT8,Rvssian,Privado,2016-11-18,1
"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",0ZNrc4kNeQYD9koZ3KvCsy,YG,STAY DANGEROUS,2018-08-03,15
Burning House,2zhk0kypGeOPsaaZcjyc14,Cam,Untamed,2015-12-11,11
Hold My Hand,0pCyoA5o2uxUwIovECCziF,Michael Jackson,Michael,2010-12-14,10
Losin Control,4cxMGhkinTocPSVVKWIw0d,Russ,There's Really A Wolf,2017-05-05,20
Hills and Valleys (The Valleys Version),398Dfg7EisARPcvixgrtuI,Tauren Wells,Hills and Valleys (Deluxe Edition),2017-06-23,15
Song for Another Time,7px4t7HGiuMUvFkEOpZEwp,Old Dominion,Meat and Candy,2015-11-06,11
Hurricane,6xHI9KjUjYT0FPtGO8Mxa1,Luke Combs,This One's for You,2017-06-02,12
When It Rains It Pours,1mMLMZYXkMueg65jRRWG1l,Luke Combs,This One's for You,2017-06-02,12
Written in the Sand,2A69wys3S9uiPSmn6UZWJn,Old Dominion,Happy Endings,2017-08-25,12
No Such Thing as a Broken Heart,0OlS52TmtK2gPaEtdmr7DN,Old Dominion,Happy Endings,2017-08-25,12
One Number Away,4gB7HrYHbJVJ5RFOjxmoq4,Luke Combs,This One's for You,2017-06-02,12
Beautiful Crazy,2rxQMGVafnNaRaXlRMWPde,Luke Combs,This One's for You Too (Deluxe Edition),2018-06-01,17
Get You (feat. Kali Uchis),7zFXmv6vqI4qOt4yGf3jYZ,Daniel Caesar,Freudian,2017-08-25,10
The Champion,0stPNUkU1LZnvxIcfrKnEZ,Carrie Underwood,The Champion,2018-01-12,1
GDFR (feat. Sage The Gemini & Lookas),26rdOwwjC2UnweK3xeS58u,Flo Rida,MY HOUSE,2015-04-07,7
1-800-273-8255,5tz69p7tJuGPeMGwNTxYuV,Logic,Everybody,2017-05-05,13
Counting Stars,6sy3LkhNFjJWlaeSMNwQ62,OneRepublic,Native,2014-01-01,15
Blessings,1bzM1cd6oqFozdr4wK6HdR,Big Sean,Dark Sky Paradise,2015-02-24,12
PROUD,365wwIjijQdlRJEjUWTidq,2 Chainz,The Play Don’t Care Who Makes It,2018-02-08,4
Roll In Peace (feat. XXXTENTACION),40oKW22ZNNkEdZLJTScaQI,Kodak Black,Project Baby 2,2017-08-18,19
"Horses (with PnB Rock, Kodak Black & A Boogie Wit da Hoodie)",5de7ci7TFqbQ1PFgKAD7MR,PnB Rock,"Horses (with PnB Rock, Kodak Black & A Boogie Wit da Hoodie)",2017-03-30,1
Wanted You (feat. Lil Uzi Vert),790MhTXPFrYkrqCKvpg4t1,NAV,Wanted You (feat. Lil Uzi Vert),2017-11-03,1
Codeine Dreaming (feat. Lil Wayne),4DTpngLjoHj5gFxEZFeD3J,Kodak Black,Project Baby 2: All Grown Up (Deluxe),2017-11-24,27
Coming Over,6m3ZWIXhjoV76syT1j2oE9,Dillon Francis,This Mixtape is Fire.,2015-08-14,7
Blood On The Leaves,42GcjriRK6srwHkfbkBqVl,Kanye West,Yeezus,2013-01-01,10
Sit Next to Me,4BdGO1CaObRD4La9l5Zanz,Foster The People,Sacred Hearts Club,2017-07-21,12
Love$ick (feat. A$AP Rocky),3sTN90bIP2cJ1783ctHykO,Mura Masa,Mura Masa,2017-07-14,13
No More Parties In LA,0zLClc0emc6qUeV1p5nc99,Kanye West,The Life Of Pablo,2016-06-10,20
One Kiss (with Dua Lipa),7ef4DlsgrMEH11cDZd32M6,Calvin Harris,One Kiss (with Dua Lipa),2018-04-06,1
FEFE (feat. Nicki Minaj & Murda Beatz),2E124GmJRnBJuXbTb4cPUB,6ix9ine,FEFE (feat. Nicki Minaj & Murda Beatz),2018-07-22,1
FEFE (feat. Nicki Minaj & Murda Beatz),2E124GmJRnBJuXbTb4cPUB,6ix9ine,FEFE (feat. Nicki Minaj & Murda Beatz),2018-07-22,1
Pa Mi (with Ozuna),0CYLDwvvpJQySLA5CvqvSl,Tory Lanez,Pa Mi (with Ozuna),2018-06-08,1
Solo a Solas (feat. Maluma),4iKuG50iHNBaybQOo11yrN,Cosculluela,Solo a Solas (feat. Maluma),2017-10-27,1
Madura (feat. Bad Bunny),0r9d60ZYPAlFHq8qnUtkXN,Cosculluela,Madura (feat. Bad Bunny),2018-04-13,1
Location,152lZdxL1OR0ZMW6KquMif,Khalid,American Teen,2017-04-27,15
