genres,followers,artists
"['boston rock', 'indie pop', 'modern rock', 'neo mellow', 'pop rock']",88292,Guster
['indie electro-pop'],2101,AM!R
['gospel'],214071,Marvin Sapp
"['country', 'country dawn', 'traditional country']",629829,Dolly Parton
['contemporary country'],114060,Danielle Bradbery
"['contemporary country', 'lift kit']",8613,Ryan Kinder
['gospel'],424568,Kirk Franklin
['pop rap'],1132681,Macklemore
"['dance pop', 'pop', 'post-teen pop', 'viral pop']",2044085,Sabrina Carpenter
"['metropopolis', 'modern rock', 'pop']",2912006,Bastille
"['cumbia', 'latin alternative']",533609,Bomba Estéreo
"['dance pop', 'pop', 'post-teen pop']",5218442,Britney Spears
"['hip hop', 'indie r&b', 'pop', 'pop rap', 'rap', 'trap music']",1135472,6LACK
"['contemporary country', 'country', 'country road', 'modern country rock']",106431,Walker Hayes
"['modern rock', 'rock', 'vegas indie']",12832738,Imagine Dragons
"['candy pop', 'dance pop', 'post-grunge', 'post-teen pop']",670596,The Pretty Reckless
"['aussietronica', 'bass trap', 'brostep', 'edm', 'electro house', 'electronic trap', 'vapor twitch']",216160,RL Grime
"['contemporary country', 'country dawn']",336867,Kacey Musgraves
"['alternative metal', 'pop punk', 'post-grunge', 'rap metal', 'screamo']",1041935,Black Veil Brides
"['indie pop', 'indie poptimism', 'indietronica', 'la indie', 'modern alternative rock', 'modern rock', 'pop quebecois']",368038,Fitz and The Tantrums
"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",2021098,A Boogie Wit da Hoodie
"['pop rap', 'rap']",2700991,Mac Miller
['detroit trap'],18503,Cash Kidd
"['ccm', 'christian alternative rock', 'christian hip hop', 'christian music', 'christian rock', 'worship']",685333,Lecrae
"['dance pop', 'dirty south rap', 'gangster rap', 'hardcore hip hop', 'hip hop', 'hip pop', 'pop', 'pop rap', 'r&b', 'rap', 'trap music', 'urban contemporary']",918978,Fabolous
"['country', 'country rock', 'nashville sound', 'outlaw country', 'southern rock', 'texas country', 'traditional country']",441560,Waylon Jennings
"['alternative metal', 'melodic metalcore', 'metalcore', 'nu metal', 'pop punk', 'post-grunge', 'rap metal', 'rap rock', 'screamo']",1379201,Bullet For My Valentine
"['emo', 'neo mellow', 'piano rock', 'pop punk', 'pop rock', 'post-teen pop']",685458,We The Kings
"['dance pop', 'pop', 'post-teen pop', 'r&b']",3568311,Christina Aguilera
"['emo rap', 'underground hip hop', 'vapor trap']",112052,6 Dogs
['contemporary country'],1439937,Sam Hunt
"['disney', 'movie tunes', 'singer-songwriter']",94898,Randy Newman
"['alternative dance', 'dance pop', 'dance-punk', 'electropop', 'indietronica', 'neo-synthpop', 'new rave', 'pop']",378091,La Roux
['gospel'],153407,Donnie McClurkin
"['melodic metalcore', 'metalcore', 'post-screamo', 'rap metal', 'screamo', 'trancecore']",156244,The Word Alive
"['alternative rock', 'garage rock', 'indie folk', 'indie pop', 'indie rock', 'lo-fi', 'modern rock', 'neo-psychedelic', 'pop rock', 'stomp and holler']",808795,Modest Mouse
"['dance pop', 'electropop', 'gauze pop', 'indie poptimism', 'pop']",255551,Zella Day
[],15039,Halloween Sound Effects
[],26903,L'Orchestra Cinematique
['halloween'],1900,Scary Halloween Music
['halloween'],353,All Hallows' Eve
"['bubblegum pop', 'soft rock', 'underground power pop']",11287,Andrew Gold
[],4971,The Citizens of Halloween
['halloween'],14476,Halloween
[],5035,Halloween All-Stars
['halloween'],4120,Halloween Monsters
[],139,Horror Music Collection
[],1338,Halloween Masters
[],3253,Halloween Sounds
['halloween'],1416,Halloween Horror Theme Syndicate
['halloween'],294,Halloween Horror Sounds
[],38,Halloween Music Specialists
['sound effects'],238,Halloween and Sound Effects
"['album rock', 'alternative metal', 'groove metal', 'hard rock', 'metal', 'nu metal', 'rock', 'speed metal']",510150,Black Label Society
[],44,Halloween Music Specialist
[],4454,The Complete Movie Soundtrack Collection
[],155,Top 40
[],324,Musica Tecno Dj Hallowen
['halloween'],14476,Halloween Music
['sleep'],2845,Pro Sound Effects Library
"['pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",3205867,Fetty Wap
"['dance pop', 'gauze pop', 'pop', 'tropical house']",865401,Years & Years
"['contemporary country', 'country', 'country road', 'modern country rock', 'redneck']",793780,Justin Moore
"['contemporary country', 'country', 'country road', 'heartland rock', 'modern country rock', 'outlaw country', 'red dirt', 'texas country']",441132,Eli Young Band
"['dance pop', 'hip hop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'rap', 'southern hip hop', 'urban contemporary']",3333484,Ciara
"['contemporary country', 'country', 'country road', 'modern country rock', 'pop rock']",1575437,Rascal Flatts
"['album rock', 'classic rock', 'folk rock', 'mellow gold', 'piano rock', 'rock', 'singer-songwriter', 'soft rock']",1270112,Billy Joel
['modern southern rock'],71398,The Cadillac Three
"['contemporary country', 'country', 'country road', 'modern country rock']",2161836,Florida Georgia Line
"['anthem worship', 'ccm', 'christian alternative rock', 'christian music', 'christian rock', 'worship']",155089,Crowder
"['dance pop', 'pop', 'post-teen pop']",3391837,Melanie Martinez
"['album rock', 'art rock', 'bow pop', 'classic rock', 'folk rock', 'glam rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock']",1096267,Electric Light Orchestra
"['comedy', 'comic']",30324,Bill Hicks
"['modern rock', 'neo mellow', 'pop punk', 'pop rap', 'pop rock', 'post-grunge']",1159414,The All-American Rejects
"['dance pop', 'deep pop r&b', 'indie r&b', 'pop', 'r&b', 'uk contemporary r&b', 'urban contemporary']",580803,Ella Mai
"['blues-rock', 'electric blues', 'funk', 'garage rock', 'modern blues', 'soul blues', 'texas blues']",449578,Gary Clark Jr.
"['ccm', 'christian alternative rock', 'christian music', 'christian rock', 'worship']",385412,Third Day
"['alternative rock', 'neo mellow', 'pop rock', 'post-grunge', 'rock']",665871,Counting Crows
"['catstep', 'chillstep', 'edm', 'substep']",175048,Blackmill
"['chillhop', 'jazz boom bap', 'lo-fi beats']",2209,Fushou.
"['album rock', 'art rock', 'australian rock', 'bubblegum pop', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'soft rock', 'southern rock']",250336,Little River Band
"['hip hop', 'indie r&b', 'pop', 'pop rap', 'r&b', 'rap']",2048771,SZA
"['hip hop', 'indie r&b', 'pop', 'pop rap', 'rap']",658056,Aminé
"['dance pop', 'latin', 'pop', 'pop rap']",6253547,Pitbull
"['alternative metal', 'christian alternative rock', 'christian music', 'christian rock', 'nu metal', 'post-grunge', 'rap metal', 'rap rock']",2067565,Skillet
"['pop punk', 'screamo']",1209867,Pierce The Veil
"['contemporary country', 'country', 'country road', 'country rock', 'outlaw country', 'red dirt', 'redneck', 'texas country', 'traditional country']",161598,Chris LeDoux
"['dance pop', 'pinoy hip hop', 'pop', 'pop rap', 'post-teen pop', 'r&b']",5998513,Jason Derulo
"['drill', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music', 'underground hip hop', 'vapor trap']",1123712,Famous Dex
"['deep pop r&b', 'deep trap', 'trap soul']",71199,Sy Ari Da Kid
"['dance pop', 'pop', 'post-teen pop', 'r&b', 'tropical house']",1053373,Jess Glynne
"['contemporary country', 'country', 'country road', 'pop rock', 'post-grunge']",195029,Uncle Kracker
"['dance pop', 'dirty south rap', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap music', 'urban contemporary']",1683747,T-Pain
"['deep pop r&b', 'indie r&b', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap music', 'urban contemporary']",1001706,Jacquees
"['dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",438646,Birdman
"['acoustic pop', 'neo mellow', 'pop', 'pop rock']",3536378,Jason Mraz
"['contemporary country', 'indonesian jazz', 'pop']",473238,Kelsea Ballerini
['deep norteno'],4158,Konzentido de Afid Ferrer
"['reggaeton', 'trap latino']",8492874,Bad Bunny
[],749,Té de Brujas
"['latin', 'salsa', 'tropical']",490352,Víctor Manuelle
"['latin', 'salsa', 'tropical']",369195,Jerry Rivera
"['latin', 'latin pop', 'salsa', 'tropical']",569819,Gilberto Santa Rosa
[],2342,Elias Medina
"['banda', 'grupera', 'latin pop', 'norteno', 'ranchera', 'regional mexican']",1724663,Joan Sebastian
"['grupera', 'mariachi', 'ranchera', 'regional mexican']",1426350,Vicente Fernández
"['banda', 'deep regional mexican', 'duranguense', 'grupera', 'norteno', 'regional mexican', 'regional mexican pop']",304263,Saul El Jaguar Alarcón
"['banda', 'regional mexican pop']",33243,Banda Estrellas De Sinaloa De German Lizarraga
"['cantautor', 'latin', 'latin arena pop', 'latin pop', 'rock en espanol', 'tropical']",2408985,Ricardo Arjona
"['indie pop rap', 'pop rap']",109378,Shwayze
"['bass trap', 'deep underground hip hop', 'indie pop rap', 'pop rap']",55342,YONAS
"['folk-pop', 'indie folk', 'indie pop', 'new americana', 'stomp and holler']",409761,Lord Huron
"['dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop']",826080,Yelawolf
"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music', 'underground hip hop', 'vapor trap']",579940,MadeinTYO
"['dance pop', 'electropop', 'pop', 'post-teen pop']",5748139,ZAYN
"['latin christian', 'rock cristiano']",169944,Ingrid Rosario
"['bachata', 'latin', 'latin pop', 'tropical']",361663,Leslie Grace
['duranguense'],13402,Estrellas De Tuzantla
"['dance pop', 'pop', 'post-teen pop']",11299936,Katy Perry
"['alternative metal', 'canadian metal', 'canadian rock', 'nu metal', 'pop punk', 'post-grunge', 'rap metal']",2430580,Three Days Grace
"['modern rock', 'pop', 'pop rap']",708325,Jon Bellion
['a cappella'],1992413,Pentatonix
"['hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'trap music']",2121756,Ty Dolla $ign
"['gangster rap', 'hip hop', 'hyphy', 'rap', 'southern hip hop', 'trap music', 'west coast trap']",115118,Berner
"['deep southern trap', 'deep trap', 'gangster rap', 'rap', 'southern hip hop', 'trap music', 'vapor trap']",196009,Peewee Longway
"['classic soul', 'disco', 'funk', 'motown', 'quiet storm', 'soul', 'urban contemporary']",72097,Blue Magic
"['hip hop', 'indie r&b', 'pop', 'pop rap', 'r&b', 'rap', 'trap music']",2945178,Bryson Tiller
"['champeta', 'colombian pop', 'dance pop', 'latin', 'latin pop', 'tropical', 'vallenato']",2308784,Carlos Vives
"['deep latin christian', 'latin christian']",75996,Roberto Orellana
"['banda', 'grupera', 'norteno', 'regional mexican']",461201,Los Tucanes De Tijuana
"['contemporary country', 'country', 'country road', 'lift kit', 'modern country rock', 'redneck']",346242,Tyler Farr
"['dance pop', 'pop', 'post-teen pop']",5772353,Lady Gaga
"['adult standards', 'christmas', 'easy listening', 'lounge', 'vocal jazz']",357079,Tony Bennett
"['pop', 'rap']",1591567,Blackbear
"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'tropical house']",4852583,Major Lazer
"['conscious hip hop', 'escape room', 'hip hop', 'pop rap', 'rap', 'underground hip hop']",677067,Vince Staples
"['folk-pop', 'funk', 'garage rock', 'indie folk', 'indie pop', 'modern rock', 'stomp and holler']",1130411,Alabama Shakes
"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",2058021,French Montana
"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",4090864,Lil Yachty
"['alternative rock', 'art rock', 'classic rock', 'dance rock', 'folk rock', 'folk-pop', 'garage rock', 'indie rock', 'lo-fi', 'melancholia', 'new wave', 'permanent wave', 'protopunk', 'psychedelic rock', 'rock']",690468,The Velvet Underground
[],47331,Mickey Avalon
"['emo', 'modern rock', 'pop punk']",5257111,Fall Out Boy
[],526,KCB
"['trap music', 'vapor trap']",87710,YNW Melly
"['dance pop', 'pop', 'post-teen pop']",6885241,Miley Cyrus
['karaoke'],462,Ameritz Karaoke Band
"['dance pop', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap music', 'urban contemporary']",1901692,Kid Ink
"['dance pop', 'hip pop', 'pop', 'post-teen pop']",6367548,Meghan Trainor
"['dance pop', 'latin', 'latin hip hop', 'latin pop', 'pop', 'pop reggaeton', 'reggaeton', 'tropical']",1196188,Joey Montana
"['cumbia paraguaya', 'cumbia pop', 'cumbia villera']",79651,Nestor En Bloque
"['contemporary country', 'country', 'country road', 'modern country rock']",815780,Dustin Lynch
[],45434,Zach Williams
"['dance pop', 'pop rap', 'r&b', 'rap', 'southern hip hop']",225644,New Boyz
[],58455,Midland
['christian hip hop'],306411,Andy Mineo
"['christian hip hop', 'christian trap']",12073,Magic & Bird
"['rap', 'trap music', 'underground hip hop', 'vapor trap']",1005140,Tay-K
"['indie folk', 'modern rock', 'pop']",1374302,Vance Joy
"['russian ccm', 'world worship', 'worship']",1018592,Hillsong Worship
"['pop punk', 'post-teen pop']",1745313,Low
"['ccm', 'christian alternative rock', 'christian music', 'christian rock', 'worship']",61522,Newsong
"['anthem worship', 'ccm', 'christian alternative rock', 'christian music', 'christian rock', 'worship']",129396,The Afters
[],157,"Celly Cel, E-40"
"['dirty south rap', 'gangster rap', 'hip hop', 'hyphy', 'pop rap', 'rap', 'southern hip hop', 'trap music', 'west coast rap']",350379,E-40
['redneck'],1018,Big Snap
[],373,"E-40, Hollow Tip"
"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music', 'underground hip hop', 'vapor trap']",1753022,Playboi Carti
"['contemporary country', 'country', 'country dawn', 'country road', 'modern country rock']",1637188,Miranda Lambert
"['conscious hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music', 'underground hip hop']",1141080,Joey Bada$$
"['australian country', 'contemporary country', 'country', 'country road']",2698574,Keith Urban
"['latin pop', 'spanish pop', 'spanish pop rock']",1296932,Melendi
"['latin', 'latin hip hop', 'reggaeton flow', 'trap latino', 'tropical']",559701,Chris Jeday
['contemporary country'],137328,LANCO
"['bolero', 'latin', 'latin pop', 'mariachi']",2016463,Luis Miguel
"['latin', 'latin pop']",3917600,Luis Fonsi
"['banda', 'grupera', 'norteno', 'ranchera', 'regional mexican']",662863,Valentín Elizalde
"['christmas', 'classic soul', 'jazz blues', 'memphis soul', 'soul', 'southern soul']",1558806,Aretha Franklin
['latin pop'],589374,Alvaro Soler
"['boy band', 'dance pop', 'pop', 'post-teen pop', 'teen pop']",841924,Why Don't We
"['banda', 'cumbia', 'duranguense', 'grupera', 'norteno', 'regional mexican']",194570,Alacranes Musical
"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'tropical']",2381574,J Alvarez
"['banda', 'cumbia', 'duranguense', 'grupera', 'norteno', 'regional mexican']",374739,Grupo Bryndis
"['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']",5297022,Foo Fighters
"['acoustic pop', 'folk-pop', 'indiecoustica', 'neo mellow', 'pop rock']",327902,Mat Kearney
"['rap', 'southern hip hop', 'trap music', 'underground hip hop', 'vapor trap']",1098606,Smokepurpp
"['pop emo', 'pop punk', 'pop rock', 'screamo']",811360,Mayday Parade
"['emo', 'pop punk']",3320058,My Chemical Romance
"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",10231465,Linkin Park
"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'r&b', 'viral pop']",503803,Jesse McCartney
"['art pop', 'dance pop', 'electropop', 'metropopolis', 'pop', 'post-teen pop']",3696879,Lorde
"['folk-pop', 'indie folk', 'indie pop', 'metropopolis', 'modern alternative rock', 'modern rock', 'pop', 'stomp and holler']",2318985,Of Monsters and Men
"['dance pop', 'indie r&b', 'pop', 'pop rap', 'r&b', 'southern hip hop', 'urban contemporary']",3499579,Trey Songz
"['ccm', 'christian alternative rock', 'christian music', 'worship']",535804,Lauren Daigle
"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",1911075,Kevin Gates
"['anthem worship', 'ccm', 'christian alternative rock', 'christian music', 'christian rock', 'worship']",341922,Matthew West
"['banda', 'duranguense', 'grupera', 'latin hip hop', 'norteno', 'regional mexican']",295388,El Tigrillo Palma
"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino', 'tropical']",3019828,Arcangel
"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rap rock']",246633,10 Years
"['album rock', 'art rock', 'classic rock', 'progressive rock', 'psychedelic rock', 'rock', 'symphonic rock']",7074815,Pink Floyd
"['modern rock', 'pop punk', 'punk']",4412268,blink-182
"['dance pop', 'hyphy', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",521759,Sage The Gemini
"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",2327784,Disturbed
['contemporary country'],50759,Carly Pearce
['danish pop'],997663,Lukas Graham
"['dance pop', 'electropop', 'pop', 'post-teen pop']",1082418,Julia Michaels
"['glam rock', 'rock']",9590240,Queen
"['indie rock', 'modern rock', 'permanent wave', 'rock', 'vegas indie']",3942204,The Killers
"['deep pop r&b', 'deep trap', 'dwn trap', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap music']",824568,K CAMP
"['contemporary country', 'country', 'country road', 'modern country rock', 'redneck']",126198,LOCASH
"['drill', 'hip hop', 'pop rap', 'rap', 'trap music', 'underground hip hop', 'vapor trap']",609442,Denzel Curry
"['dreamo', 'emo', 'modern rock', 'post-hardcore', 'progressive post-hardcore', 'screamo']",180474,Circa Survive
"['emo', 'modern rock', 'pop punk', 'pop rock']",177363,Motion City Soundtrack
"['reggaeton flow', 'trap latino']",63193,Trap Capos
"['folk', 'folk rock', 'folk-pop', 'melancholia', 'mellow gold', 'rock']",1443872,Simon & Garfunkel
['funk'],183872,Khruangbin
"['conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'old school hip hop', 'rap']",393242,Public Enemy
"['dance pop', 'pop', 'post-teen pop', 'tropical house']",1770471,DNCE
"['scorecore', 'soundtrack', 'video game music']",155895,James Newton Howard
"['german soundtrack', 'soundtrack']",1306072,Hans Zimmer
"['chamber pop', 'chamber psych', 'folk-pop', 'freak folk', 'indie folk', 'lilith', 'stomp and holler']",41346,Laura Veirs
"['dance pop', 'pop', 'post-teen pop', 'r&b', 'viral pop']",1456163,Tori Kelly
"['dance pop', 'electropop', 'indie poptimism', 'modern rock', 'neo mellow', 'pop', 'post-teen pop', 'viral pop']",74145,Wrabel
"['emo rap', 'underground hip hop', 'vapor trap']",229572,Yung Gravy
"['permanent wave', 'pop']",14985478,Coldplay
"['rap', 'southern hip hop', 'trap music']",907905,YFN Lucci
"['indie pop', 'indie poptimism', 'indietronica', 'la indie', 'modern alternative rock', 'modern rock', 'shimmer pop']",247011,Saint Motel
['soundtrack'],663834,John Williams
"['dance pop', 'escape room', 'hip pop', 'indie r&b', 'neo soul', 'pop', 'r&b', 'urban contemporary']",577050,Solange
"['big room', 'edm']",10413224,Avicii
"['canadian hip hop', 'hip hop', 'indie r&b', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music', 'trap soul', 'underground hip hop']",132801,Belly
"['contemporary country', 'country', 'country road', 'modern country rock', 'modern southern rock']",329028,Brothers Osborne
"['complextro', 'dance pop', 'edm', 'german techno', 'pop', 'post-teen pop', 'tropical house']",3404708,Zedd
"['contemporary country', 'country', 'country road', 'modern country rock']",1300677,Brad Paisley
"['adult standards', 'brill building pop', 'christmas', 'motown', 'quiet storm', 'rock-and-roll', 'rockabilly', 'soul', 'southern soul']",209578,Ben E. King
"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'viral pop']",522349,Andy Grammer
"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino', 'tropical']",2371089,De La Ghetto
"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino', 'tropical']",497707,Jory Boy
"['deep underground hip hop', 'underground hip hop']",36453,Sylvan LaCue
"['latin', 'latin hip hop', 'pop', 'reggaeton', 'tropical']",7891749,Nicky Jam
"['banda', 'cumbia', 'duranguense', 'grupera', 'norteno', 'ranchera', 'regional mexican']",113031,Los Alegres de la Sierra
"['dance pop', 'pop', 'post-teen pop', 'tropical house']",1800503,Anne-Marie
"['swedish alternative rock', 'swedish indie pop']",49382,NONONO
"['contemporary country', 'country', 'country road', 'modern country rock', 'red dirt', 'redneck', 'texas country']",63498,Corey Smith
"['dance pop', 'electropop', 'girl group', 'pop', 'post-teen pop', 'talent show']",6613066,Fifth Harmony
"['banjo', 'folk-pop', 'indiecoustica', 'modern alternative rock', 'modern rock', 'stomp and holler']",146141,Judah & the Lion
"['lgbtq+ hip hop', 'pop rap', 'rap', 'trap music']",614562,Young M.A
[],4,Jean-Edouard Lipa
"['ccm', 'christian alternative rock', 'christian music', 'christian rock', 'worship']",604782,Newsboys
"['art pop', 'chamber psych', 'escape room', 'experimental pop', 'fluxwork', 'indie r&b', 'uk contemporary r&b']",16976,Tirzah
['channel pop'],54,Kelly Sanders
"['alternative hip hop', 'hardcore hip hop', 'hip hop']",38221,King Geedorah
[],12051,Indiana Bible College Choir
"['anthem worship', 'ccm', 'christian music', 'deep ccm', 'world worship', 'worship']",24277,Chris McClarney
"['christian relaxative', 'new age', 'new age piano']",13078,David Nevue
"['brostep', 'complextro', 'edm', 'electro']",6780688,Skrillex
"['edm', 'electro house', 'electronic trap', 'pop']",857567,Jack Ü
"['contemporary country', 'lift kit']",23166,William Michael Morgan
"['indie pop', 'indie poptimism', 'indie rock', 'indietronica', 'la indie', 'modern alternative rock', 'modern rock', 'rock', 'stomp and holler']",858291,Young the Giant
"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",7407762,Wiz Khalifa
[],1022,Jared Halley
"['deep underground hip hop', 'dirty south rap', 'pop rap', 'southern hip hop']",250275,Rittz
"['latin', 'latin hip hop', 'pop', 'reggaeton', 'reggaeton flow', 'tropical']",1253364,"Tito ""El Bambino"""
"['g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap']",4813102,2Pac
"['latin', 'latin hip hop', 'reggaeton flow', 'trap latino', 'tropical']",1777861,Bryant Myers
"['contemporary country', 'country road', 'modern country rock']",25288,Seth Ennis
"['contemporary country', 'country', 'country dawn', 'country road', 'modern country rock']",1198513,Little Big Town
"['chamber pop', 'indie anthem-folk', 'indie folk', 'stomp and holler']",56274,Hollow Coves
"['indonesian hip hop', 'underground hip hop', 'vapor trap']",862285,Rich Brian
"['big room', 'dance pop', 'edm', 'electro house', 'pop', 'pop rap', 'tropical house']",2199428,Galantis
"['dance pop', 'dancehall', 'pop', 'pop rap']",2019743,Sean Paul
"['contemporary country', 'country', 'country road']",2443968,Tim McGraw
"['comedy', 'comic']",96250,Bill Burr
"['alternative rock', 'pop punk', 'pop rock', 'post-grunge']",116792,Lit
"['east coast hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'underground hip hop']",406788,Action Bronson
"['gangster rap', 'hip hop', 'pop', 'pop rap', 'rap', 'trap music']",3360328,Young Thug
"['contemporary country', 'country', 'country road', 'modern country rock']",1681545,Eric Church
"['metalcore', 'pop punk', 'rap metal', 'screamo']",915979,Falling In Reverse
"['rap', 'southern hip hop', 'trap music', 'underground hip hop', 'vapor trap']",1232890,Ugly God
"['indie garage rock', 'indie psych-rock', 'lo-fi beats', 'modern rock']",69088,Summer Salt
"['crunk', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",1087478,Jeezy
"['dance pop', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'viral pop']",4839838,Jessie J
"['album rock', 'art rock', 'blues-rock', 'british blues', 'classic rock', 'folk rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'roots rock', 'soft rock', 'southern rock', 'symphonic rock']",334697,Peter Frampton
"['deep pop r&b', 'hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']",748434,K. Michelle
['contemporary country'],12637,Jillian Jacqueline
"['chicano rap', 'deep trap', 'rap', 'southern hip hop', 'trap music', 'vapor trap']",313604,Kap G
"['dwn trap', 'pop rap', 'rap', 'southern hip hop', 'trap music']",532995,O.T. Genasis
"['dance pop', 'deep euro house', 'deep house', 'edm', 'pop', 'tropical house']",1657348,Robin Schulz
"['latin', 'latin hip hop', 'latin pop', 'pop', 'reggaeton', 'tropical']",2674751,Zion & Lennox
"['dirty south rap', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",2291879,Meek Mill
"['dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",509993,DJ Drama
"['contemporary country', 'lift kit', 'modern country rock']",111289,Michael Ray
"['dwn trap', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",2149444,Desiigner
"['canadian hip hop', 'indie r&b', 'pop', 'pop rap', 'r&b', 'rap', 'trap music', 'trap soul']",482488,Roy Woods
['r&b'],206091,Andra Day
"['contemporary country', 'country', 'country road', 'lift kit', 'modern country rock', 'redneck']",80022,Josh Thompson
"['metalcore', 'pop punk', 'rap metal', 'screamo']",1260697,A Day To Remember
"['dance pop', 'hip pop', 'pop', 'r&b', 'urban contemporary']",3522367,Mariah Carey
['disco'],104511,Giorgio Moroder
"['chicano rap', 'gangster rap', 'latin hip hop']",78741,Mr. Criminal
"['dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",2461361,Rick Ross
"['alternative metal', 'hardcore punk', 'nu metal', 'pop punk', 'post-grunge', 'punk', 'rap metal']",1597053,Rise Against
"['hip hop', 'indie r&b', 'pop', 'pop rap', 'r&b', 'rap', 'trap music', 'urban contemporary']",1538194,PARTYNEXTDOOR
"['electropop', 'modern alternative rock', 'modern rock', 'pop']",306976,Bishop Briggs
"['deep tropical house', 'edm', 'pop', 'tropical house']",424426,Kungs
"['contemporary country', 'country', 'country road', 'modern country rock']",17712,Steve Holy
"['chillhop', 'lo-fi beats']",526,Delayde
"['pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",1495173,PnB Rock
"['chillhop', 'lo-fi beats']",7913,Ian Ewing
"['acoustic pop', 'indiecoustica', 'neo mellow', 'pop', 'pop punk', 'pop rock', 'post-teen pop', 'viral pop']",357641,Parachute
"['alternative rock', 'art pop', 'brooklyn indie', 'chamber psych', 'freak folk', 'garage psych', 'garage rock', 'indie pop', 'indie rock', 'lo-fi', 'modern alternative rock', 'modern rock', 'neo-psychedelic', 'noise pop', 'preverb']",115787,Parquet Courts
"['regional mexican', 'regional mexican pop']",495250,El Fantasma
['regional mexican pop'],66892,Los Nuevos Ilegales
['regional mexican pop'],35272,Aldo Trujillo
"['grupera', 'latin', 'latin arena pop', 'latin pop', 'mariachi', 'mexican pop', 'ranchera', 'tropical']",1645630,Alejandro Fernandez
"['banda', 'cumbia', 'duranguense', 'grupera', 'norteno', 'ranchera', 'regional mexican']",325310,Los Rieleros Del Norte
"['regional mexican', 'regional mexican pop']",261885,LEGADO 7
"['indie pop', 'indie poptimism', 'indie rockism', 'modern alternative rock', 'modern rock', 'pop punk', 'stomp pop']",213031,New Politics
['underground hip hop'],130592,Rob $tone
"['bow pop', 'classify']",811765,The Piano Guys
"['dance pop', 'pop', 'post-teen pop', 'r&b', 'viral pop']",3944792,Alessia Cara
"['outlaw country', 'traditional country']",2809093,Johnny Cash
"['ccm', 'christian alternative rock', 'christian music', 'christian rock', 'world worship', 'worship']",200345,Michael W. Smith
"['album rock', 'classic rock', 'dance rock', 'hard rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'rock', 'soft rock']",493197,Billy Idol
"['country rock', 'nashville sound', 'outlaw country', 'traditional country']",176199,The Highwaymen
