genres,followers,artists
"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'tropical']",2042365,Cosculluela
"['banda', 'deep regional mexican', 'grupera', 'norteno', 'regional mexican', 'regional mexican pop']",321407,Roberto Tapia
"['indie r&b', 'pop', 'rap']",3331463,Khalid
['pop'],6902630,Sam Smith
"['dance pop', 'edm', 'liquid funk', 'pop', 'tropical house', 'uk funky']",812007,Rudimental
"['deep underground hip hop', 'indie pop rap', 'pop', 'pop rap', 'rap']",241559,Mike Stud
[],37081,Meditation Spa
['trap music'],1554556,YoungBoy Never Broke Again
"['rap', 'southern hip hop', 'trap music']",579385,Moneybagg Yo
"['dance pop', 'hip hop', 'indie r&b', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap music', 'urban contemporary']",2705479,Jeremih
"['canadian pop', 'dance pop', 'pop', 'post-teen pop']",25233652,Justin Bieber
"['dance pop', 'hip pop', 'pop', 'pop rap', 'rap']",12811491,Nicki Minaj
"['hip hop', 'pop', 'pop rap', 'rap']",628387,KYLE
"['dance pop', 'pop', 'post-teen pop', 'r&b', 'urban contemporary']",27310605,Rihanna
"['ccm', 'christian alternative rock', 'christian music', 'christian rock', 'world worship', 'worship']",814047,Casting Crowns
"['battle rap', 'dirty south rap', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'hip pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",258315,Cam’ron
"['contemporary country', 'country', 'country road', 'modern country rock', 'neo mellow', 'pop', 'post-teen pop']",764296,Hunter Hayes
"['contemporary country', 'country', 'country road', 'modern country rock']",1107570,Billy Currington
"['pop rap', 'rap']",961135,Lil Dicky
"['pop', 'trap music', 'trap queen']",867709,Bhad Bhabie
['hip hop'],1265292,NF
"['detroit hip hop', 'detroit trap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music', 'vapor trap']",942411,Tee Grizzley
"['contemporary country', 'country', 'country dawn', 'country road', 'neo mellow']",2185621,Lady Antebellum
"['bachata', 'latin', 'tropical']",6093404,Romeo Santos
"['dance pop', 'edm', 'pop', 'tropical house']",677851,Felix Jaehn
"['ccm', 'christian alternative rock', 'christian music', 'christian rock', 'worship']",273117,Big Daddy Weave
"['dance pop', 'indie poptimism', 'indie r&b', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'rap']",178350,Marc E. Bassy
"['contemporary country', 'country', 'country road', 'modern country rock']",826934,Lee Brice
"['contemporary country', 'country', 'country road', 'modern country rock', 'redneck']",842195,Trace Adkins
"['dance pop', 'pop', 'r&b', 'urban contemporary']",3268932,Whitney Houston
"['chillwave', 'indie r&b', 'indietronica', 'shimmer psych', 'vapor soul', 'vapor twitch', 'vaporwave', 'wonky']",77879,Chrome Sparks
"['contemporary country', 'country', 'country gospel', 'country road', 'country rock']",144920,Little Texas
"['aggrotech', 'dark wave', 'ebm', 'electro-industrial', 'futurepop', 'industrial metal', 'swedish synthpop']",13494,Ashbury
['k-pop'],6876507,BTS
"['chamber pop', 'folk-pop', 'indie folk', 'indie pop', 'indie rock', 'indietronica', 'la indie', 'modern rock', 'shimmer pop', 'stomp and holler']",357674,Local Natives
"['neo mellow', 'pop', 'pop rock', 'singer-songwriter']",3134155,John Mayer
"['album rock', 'art rock', 'blues-rock', 'british blues', 'classic rock', 'country rock', 'folk rock', 'glam rock', 'hard rock', 'mellow gold', 'power pop', 'protopunk', 'psychedelic rock', 'pub rock', 'rock', 'roots rock', 'soft rock', 'southern rock']",114358,Faces
['alternative metal'],145680,Bad Wolves
"['dance pop', 'pop', 'post-teen pop']",2759540,Niall Horan
['emo rap'],6859425,XXXTENTACION
['contemporary country'],254333,Brett Young
"['contemporary country', 'country', 'country road', 'modern country rock']",1159474,Chris Young
"['boy band', 'dance pop', 'pop', 'post-teen pop', 'talent show']",11084404,One Direction
"['deep new americana', 'folk-pop', 'funk', 'indie folk', 'indie pop', 'indie rock', 'modern rock', 'new americana', 'shimmer pop', 'shiver pop', 'stomp and holler']",129546,Houndmouth
"['contemporary country', 'country', 'country road', 'modern country rock']",732896,Brett Eldredge
"['indie pop', 'indie poptimism', 'indie rock', 'indietronica', 'modern alternative rock', 'modern rock']",187048,Hippo Campus
"['pop', 'rap']",4377497,Cardi B
"['icelandic indie', 'modern alternative rock', 'modern rock']",605795,Kaleo
"['contemporary country', 'modern country rock']",64186,Devin Dawson
"['dance pop', 'pop', 'post-teen pop', 'rap']",745801,Bazzi
"['rap', 'trap music']",1892321,Trippie Redd
[],371,Howard Wales
"['rap', 'trap music']",5048294,Lil Uzi Vert
"['trap music', 'vapor trap']",201637,SOB X RBE
"['regional mexican', 'regional mexican pop']",273809,Adriel Favela
"['dance pop', 'neo mellow', 'pop', 'post-teen pop', 'viral pop']",1537635,Christina Perri
['cubaton'],7072,Yulien Oviedo
"['regional mexican', 'regional mexican pop']",184536,Omar Ruiz
